RPeakID,RPeakTime,ParticipantID
43,26.423,14
44,27.036,14
45,27.643,14
46,28.25,14
47,28.856,14
48,29.461,14
49,30.066,14
50,30.669,14
51,31.268,14
52,31.865,14
53,32.466,14
54,33.065,14
55,33.669,14
56,34.277,14
57,34.888,14
58,35.511,14
59,36.138,14
60,36.766,14
61,37.386,14
62,38.004,14
63,38.612,14
64,39.211,14
65,39.804,14
66,40.394,14
67,40.974,14
68,41.548,14
69,42.117,14
70,42.684,14
71,43.248,14
72,43.812,14
73,44.378,14
74,44.943,14
75,45.509,14
76,46.077,14
77,46.644,14
78,47.214,14
79,47.784,14
80,48.353,14
81,48.918,14
82,49.481,14
83,50.043,14
84,50.601,14
85,51.154,14
86,51.705,14
87,52.255,14
88,52.805,14
89,53.352,14
90,53.898,14
91,54.443,14
92,54.991,14
93,55.54,14
94,56.088,14
95,56.635,14
96,57.188,14
97,57.744,14
98,58.304,14
99,58.867,14
100,59.432,14
101,59.999,14
102,60.565,14
103,61.129,14
104,61.925,14
1,0.303,15
2,0.997,15
3,1.669,15
4,2.355,15
5,3.043,15
6,3.735,15
7,4.474,15
8,5.24,15
9,6.026,15
10,6.837,15
11,7.642,15
12,8.416,15
13,9.203,15
14,9.972,15
15,10.707,15
16,11.444,15
17,12.178,15
18,12.888,15
19,13.609,15
20,14.315,15
21,15.027,15
22,15.744,15
23,16.434,15
24,17.139,15
25,17.84,15
26,18.542,15
27,19.219,15
28,19.902,15
29,20.585,15
30,21.251,15
31,21.915,15
32,22.577,15
33,23.232,15
34,23.878,15
35,24.511,15
36,25.139,15
37,25.772,15
38,26.4,15
39,27.029,15
40,27.643,15
41,28.251,15
42,28.868,15
43,29.486,15
44,30.107,15
45,30.728,15
46,31.353,15
47,31.981,15
48,32.623,15
49,33.267,15
50,33.925,15
51,34.59,15
52,35.252,15
53,35.923,15
54,36.589,15
55,37.238,15
56,37.893,15
57,38.539,15
58,39.174,15
59,39.814,15
60,40.455,15
61,41.094,15
62,41.747,15
63,42.408,15
64,43.06,15
65,43.72,15
66,44.378,15
67,45.024,15
68,45.674,15
69,46.309,15
70,46.943,15
71,47.575,15
72,48.205,15
73,48.819,15
74,49.435,15
75,50.045,15
76,50.655,15
77,51.262,15
78,51.875,15
79,52.497,15
80,53.118,15
81,53.742,15
82,54.361,15
83,54.979,15
84,55.598,15
85,56.209,15
86,56.815,15
87,57.411,15
88,57.987,15
89,58.562,15
90,59.136,15
91,59.713,15
92,60.289,15
93,60.874,15
94,61.461,15
1,0.357,16
2,1.031,16
3,1.676,16
4,2.334,16
5,2.976,16
6,3.603,16
7,4.232,16
8,4.862,16
9,5.487,16
10,6.114,16
11,6.733,16
12,7.35,16
13,7.97,16
14,8.578,16
15,9.196,16
16,9.811,16
17,10.416,16
18,11.029,16
19,11.645,16
20,12.25,16
21,12.867,16
22,13.495,16
23,14.144,16
24,14.789,16
25,15.432,16
26,16.08,16
27,16.725,16
28,17.377,16
29,18.055,16
30,18.716,16
31,19.372,16
32,20.03,16
33,20.678,16
34,21.321,16
35,21.968,16
36,22.627,16
37,23.27,16
38,23.921,16
39,24.564,16
40,25.193,16
41,25.821,16
42,26.462,16
43,27.092,16
44,27.716,16
45,28.343,16
46,28.974,16
47,29.605,16
48,30.238,16
49,30.873,16
50,31.501,16
